Rank,Country,GDP
São Tomé and Príncipe,Africa,751
Dominica,Americas,708
Tonga,Oceania,581
Micronesia,Oceania,484
Anguilla,Americas,—
Kiribati,Oceania,311
Palau,Oceania,308
Marshall Islands,Oceania,305
Cook Islands,Oceania,—
Nauru,Oceania,161
Montserrat,Americas,—
Tuvalu,Oceania,66
